Identifiant;Commémoré;Adresse complète;Précision adresse;Code postal;xy
1144.0;René NOEL;154, boulevard Davout 75020 Paris;NULL;75020.0;48.861938, 2.409469
305.0;Personnalités juives;Ecole Militaire 75007 Paris;Côté avenue Duquesne;75007.0;48.854263, 2.305733
310.0;André PRADAT;42, rue de Bourgogne 75007 Paris;NULL;75007.0;48.857119, 2.317288
347.0;Eleves de ces ecoles morts en déportation parce que nés juifs;10 rue Paul Baudry 75008 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75008.0;48.87234, 2.307394
453.0;Lieutenant-colonel Jean VERINES;Place de la République 75010 Paris;Caserne (cour interieure);75010.0;48.868185, 2.362972
580.0;LIBERATION DE PARIS;231, rue de Bercy 75012 Paris;NULL;75012.0;48.839147, 2.382826
603.0;Paul TURGNE;85, rue de Charenton Angle rue Traversière 75012 Paris;NULL;75012.0;48.849267, 2.374739
816.0;Pierre ROSSARI;Boulevard Pasteur Station Sèvres-Lecourbe 75015 Paris;NULL;75015.0;48.841796, 2.313738
830.0;Colonel Pierre BOURGOIN;78, avenue Mozart 75016 Paris;NULL;75016.0;48.852742, 2.26815
847.0;Gaston, Marques GUITTET;2, rue Serge Prokofiev 75016 Paris;NULL;75016.0;48.853746, 2.268671
1150.0;RAFLE DU 16 JUILLET 1942;5 cour des Métairies 75020 Paris;NULL;75020.0;48.873574, 2.385802
1167.0;Eleves de ces ecoles morts en déportation parce que nés juifs;16 rue Julien Lacroix 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.869469, 2.385602
1200.0;Eleves de ces ecoles morts en déportation parce que nés juifs;9 rue de Tlemcen Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.864586, 2.387088
428.0;Edouard MAURY;123, quai de Jemmapes 75010 Paris;NULL;75010.0;48.874731, 2.366295
366.0;Eleves de ces ecoles morts en déportation parce que nés juifs;16 rue de la Victoire 75009 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75009.0;48.87515, 2.339158
371.0;Eleves de ces ecoles morts en déportation parce que nés juifs;15 rue Turgot 75009 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75009.0;48.880515, 2.345143
392.0;Michel DECHOT;2ème étage, Esc. B mairie du Xeme arrondissement 75010 Paris;NULL;75010.0;48.871901, 2.366747
244.0;François QUINTIN;9, place Saint- Michel 75006 Paris;"(A l'intérieur du café ""Fontaine Saint-Michel"")";75006.0;48.853183, 2.343591
255.0;Jean Bruller VERCORS;Place de l'Institut Passerelle des Arts 75006 Paris;NULL;75006.0;48.85309, 2.342944
173.0;Guy ROUZAUD;78, rue Claude Bernard 75005 Paris;NULL;75005.0;48.840648, 2.345404
660.0;Georges GEORGES;29 rue des Reculettes 75013 Paris;NULL;75013.0;48.831993, 2.349944
719.0;Eleves de ces ecoles morts en déportation parce que nés juifs;7 rue Providence 75013 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75013.0;48.825586, 2.348466
852.0;Georges LAFONT;18, boulevard Exelmans 75016 Paris;NULL;75016.0;48.840741, 2.265994
1059.0;MONUMENT AUX MORTS;112, rue de Flandres cour interieure de la C.N.A.V 75019 Paris;NULL;75019.0;48.891825, 2.378546
1181.0;Eleves de ces ecoles morts en déportation parce que nés juifs;97 rue des pyrénées 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.855032, 2.405253
37.0;NOUVELLES MESSAGERIES DE PRESSE PARISIENNE;111, rue Réaumur 75002 Paris;NULL;75002.0;48.868127, 2.343293
47.0;Eleves de ces ecoles morts en déportation parce que nés juifs;11 rue Vivienne 75002 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75002.0;48.868003, 2.339496
124.0;Charles MARTINI;32, quai Henri IV 75004 Paris;NULL;75004.0;48.849116, 2.362399
290.0;LIBERATION;27, boulevard de la Tour-Maubourg Angle rue Saint-Dominique/ 75007 Paris;NULL;75007.0;48.859789, 2.310351
304.0;Robert Et Etienne PELLETIER;93 rue du Bac 75007 Paris;NULL;75007.0;48.853677, 2.323913
321.0;Orville J. CUNNINGHAM;23, rue Boissy d'Anglas 75008 Paris;NULL;75008.0;48.869182, 2.321981
348.0;Eleves de ces ecoles morts en déportation parce que nés juifs;4 rue de Florence 75008 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75008.0;48.882278, 2.325542
575.0;Marco LAZARD;Square Albert Tournaire 75012 Paris;NULL;75012.0;
688.0;Jean PREVOST;88 rue de la Glacière 75013 Paris;NULL;75013.0;48.832704, 2.344339
743.0;Raymond LOSSERAND;villa Deshayes 75014 Paris;NULL;75014.0;48.827509, 2.316318
900.0;RESISTANTS FUSILLES;Square Marguerite Long 75017 Paris;NULL;75017.0;48.891556, 2.30394
1004.0;Eleves de ces ecoles morts en déportation parce que nés juifs;4 rue Charles Hermite 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.899893, 2.36866
295.0;Pierre MAROGER;rue de Verneuil 75007 Paris;NULL;75007.0;48.857988, 2.329145
